time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2020-10-02,28.0,,,63,,,5.8,,1006.2,,
2020-10-03,28.2,,,60,,,6.5,,1007.3,,
2020-10-04,28.0,,,60,,,7.2,,1008.2,,
2020-10-05,27.8,,,59,,,10.9,,1007.5,,
2020-10-06,27.8,,,56,,,8.7,,1008.2,,
2020-10-07,27.9,,,54,,,8.0,,1010.0,,
2020-10-10,28.2,,,58,,,7.1,,1009.2,,
2020-10-11,27.4,,,63,,,4.8,,1007.3,,
2020-10-12,27.5,,,66,,,3.5,,1006.2,,
2020-10-13,28.2,,,68,,,4.5,,1007.5,,
2020-10-26,24.0,,,41,,,9.8,,1013.2,,
2020-10-27,23.0,,,45,,,7.1,,1012.6,,
2020-10-31,22.8,,,45,,,8.9,,1013.7,,
2020-11-01,21.7,,,52,,,5.5,,1014.2,,
2020-11-16,17.9,,26.4,,15.0,,,,,,
2020-11-17,17.7,11.4,25.9,,0.0,,,,,,
2020-11-26,15.3,,21.7,,5.1,,,,,,
2020-11-27,16.4,9.1,25.8,,0.0,,,,,,
2020-12-12,17.2,,28.1,,5.1,,,,,,
2020-12-13,12.8,,23.0,,0.0,,,,,,
2020-12-28,9.2,,20.2,,4.1,,,,,,
2020-12-29,7.8,2.8,14.5,,0.0,,,,,,
2021-01-02,12.6,6.1,17.4,59,0.5,,4.8,,1017.0,,
2021-01-03,16.3,11.4,23.2,71,0.8,,9.4,,1014.9,,
2021-01-04,18.8,12.5,25.8,77,0.0,,9.9,,1016.6,,
2021-01-05,16.6,14.7,18.7,72,8.8,,16.3,,1015.9,,
2021-01-06,15.2,12.7,18.2,86,16.9,,9.3,,1016.1,,
2021-01-07,13.9,10.2,18.9,81,0.0,,6.6,,1014.5,,
2021-01-08,12.3,8.8,16.9,83,0.0,,5.3,,1014.7,,
2021-01-09,13.4,9.3,19.3,75,0.0,,9.1,,1015.6,,
2021-01-10,11.9,8.5,17.1,86,0.0,,9.9,,1015.5,,
2021-01-11,11.2,8.5,16.3,88,0.0,,12.3,,1015.9,,
2021-01-12,11.0,7.3,16.6,84,0.0,,14.0,,1015.6,,
2021-01-13,10.1,6.1,16.6,82,0.0,,9.2,,1015.1,,
2021-01-14,9.6,5.1,14.7,84,0.0,,4.9,,1016.7,,
2021-01-15,12.0,8.7,16.8,81,0.0,,4.6,,1014.9,,
2021-01-16,10.5,7.5,14.9,89,0.0,,7.2,,1013.2,,
2021-01-17,12.4,9.3,17.1,82,0.0,,12.0,,1015.5,,
2021-01-18,12.8,7.5,18.9,75,0.0,,4.8,,1017.1,,
2021-01-19,14.1,8.9,20.7,68,0.0,,10.2,,1013.5,,
2021-01-20,13.9,10.5,20.0,66,0.0,,15.0,,1013.0,,
2021-01-21,13.8,9.5,21.0,72,0.0,,13.4,,1012.4,,
2021-01-22,12.5,7.2,18.0,72,0.0,,9.1,,1014.6,,
2021-01-23,14.7,11.2,19.7,72,2.5,,15.8,,1012.6,,
2021-01-24,12.6,8.6,16.8,84,2.3,,6.4,,1015.9,,
2021-01-25,11.7,7.3,18.2,77,0.0,,7.6,,1017.2,,
2021-01-26,12.0,7.3,18.3,78,0.0,,9.6,,1016.7,,
2021-01-27,12.0,8.0,18.2,73,0.0,,11.3,,1016.5,,
2021-01-28,11.0,6.0,17.2,72,0.0,,5.9,,1017.6,,
2021-01-29,12.0,7.4,18.2,72,0.0,,12.2,,1017.8,,
2021-01-30,12.4,9.0,18.1,64,0.0,,14.5,,1016.0,,
2021-01-31,12.1,7.3,18.6,64,0.0,,7.9,,1016.8,,
2021-02-01,13.5,8.5,20.3,64,0.1,,8.8,,1019.0,,
2021-02-02,14.0,8.8,21.5,62,0.0,,6.9,,1017.1,,
2021-02-03,14.5,9.2,21.5,58,0.3,,6.8,,1017.0,,
2021-02-04,12.0,10.4,23.8,72,0.0,,8.7,,1017.8,,
2021-02-05,13.4,6.1,21.2,72,7.1,,5.4,,1018.2,,
2021-02-06,14.0,6.6,21.9,62,0.0,,9.7,,1017.6,,
2021-02-07,14.0,9.3,20.2,60,0.0,,12.7,,1017.1,,
2021-02-08,14.6,8.8,21.1,68,0.0,,8.2,,1017.2,,
2021-02-09,16.1,12.1,22.5,68,0.0,,10.9,,1013.8,,
2021-02-10,15.6,9.8,22.5,69,0.0,,8.1,,1013.5,,
2021-02-11,16.1,10.9,22.9,69,0.0,,7.4,,1013.6,,
2021-02-12,15.8,10.6,22.4,70,0.0,,4.9,,1014.7,,
2021-02-13,16.1,12.2,21.8,73,0.0,,5.1,,1015.0,,
2021-02-14,16.1,11.2,22.2,77,0.0,,6.6,,1014.7,,
2021-02-15,16.8,11.0,25.0,78,0.0,,4.6,,1013.3,,
2021-02-16,18.4,11.0,27.0,79,0.0,,4.4,,1013.0,,
2021-02-17,17.8,11.0,27.0,72,0.0,,4.5,,1014.6,,
2021-02-18,18.7,12.0,27.0,82,0.0,,4.7,,1017.7,,
2021-02-19,18.6,12.0,25.0,85,0.0,,6.2,,1019.6,,
2021-02-20,19.1,13.0,26.0,82,0.0,,8.0,,1019.0,,
2021-02-21,19.9,14.0,28.0,84,0.0,,11.4,,1017.0,,
2021-02-22,21.0,14.0,30.0,84,0.0,,11.6,,1015.1,,
2021-02-23,20.9,15.0,29.0,78,0.0,,6.8,,1013.1,,
2021-02-24,22.6,13.4,33.0,52,0.0,,8.4,,1011.3,,
2021-02-25,23.2,16.0,33.0,42,0.0,,10.3,,1010.1,,
